# redshift	D_L [Mpc]
2.43998630e+00	2.02224174e+04
2.49113003e+00	2.07420121e+04
2.54334576e+00	2.12744238e+04
2.59665597e+00	2.18199487e+04
2.65108360e+00	2.23788898e+04
2.70665207e+00	2.29515568e+04
2.76338529e+00	2.35382662e+04
2.82130768e+00	2.41393416e+04
2.88044415e+00	2.47551138e+04
2.94082017e+00	2.53859209e+04
3.00246171e+00	2.60321086e+04
3.06539530e+00	2.66940303e+04
3.12964801e+00	2.73720472e+04
3.19524751e+00	2.80665284e+04
3.26222201e+00	2.87778514e+04
3.33060034e+00	2.95064020e+04
3.40041193e+00	3.02525746e+04
3.47168682e+00	3.10167721e+04
3.54445567e+00	3.17994067e+04
3.61874981e+00	3.26008994e+04
3.69460121e+00	3.34216806e+04
3.77204249e+00	3.42621905e+04
3.85110700e+00	3.51228785e+04
3.93182876e+00	3.60042044e+04
4.01424249e+00	3.69066379e+04
4.09838367e+00	3.78306590e+04
4.18428851e+00	3.87767585e+04
4.27199397e+00	3.97454377e+04
4.36153779e+00	4.07372093e+04
4.45295851e+00	4.17525969e+04
4.54629547e+00	4.27921358e+04
4.64158883e+00	4.38563730e+04
4.73887961e+00	4.49458675e+04
4.83820966e+00	4.60611905e+04
4.93962174e+00	4.72029258e+04
5.04315949e+00	4.83716699e+04
5.14886745e+00	4.95680324e+04
5.25679112e+00	5.07926360e+04
5.36697695e+00	5.20461173e+04
5.47947234e+00	5.33291266e+04
5.59432571e+00	5.46423284e+04
5.71158648e+00	5.59864017e+04
5.83130511e+00	5.73620403e+04
5.95353313e+00	5.87699529e+04
6.07832313e+00	6.02108640e+04
6.20572881e+00	6.16855133e+04
6.33580499e+00	6.31946571e+04
6.46860766e+00	6.47390677e+04
6.60419396e+00	6.63195343e+04
6.74262224e+00	6.79368633e+04
6.88395207e+00	6.95918784e+04
7.02824426e+00	7.12854211e+04
7.17556092e+00	7.30183512e+04
7.32596543e+00	7.47915472e+04
7.47952252e+00	7.66059062e+04
7.63629826e+00	7.84623451e+04
7.79636013e+00	8.03618004e+04
7.95977700e+00	8.23052287e+04
8.12661920e+00	8.42936074e+04
8.29695852e+00	8.63279348e+04
8.47086827e+00	8.84092309e+04
8.64842328e+00	9.05385375e+04
8.82969996e+00	9.27169188e+04
9.01477631e+00	9.49454620e+04
9.20373200e+00	9.72252777e+04
9.39664831e+00	9.95575002e+04
9.59360829e+00	1.01943288e+05
9.79469667e+00	1.04383826e+05
1.00000000e+01	1.06880321e+05
1.02096066e+01	1.09434011e+05
